tconst,primaryTitle,startYear
tt0066149,Japan and the Japanese,1970
tt0066178,Oisin,1970
tt0066458,Time Is Running Out,1970
tt0066748,Adventures in Perception,1972
tt0066751,Ahora te vamos a llamar hermano,1971
tt0066786,Art Is...,1972
tt0066937,Computer Landscape,1971
tt0066938,Computer Perspective,1972
tt0067077,Fabryka,1971
tt0067222,Hundertwassers Regentag,1971
tt0067273,Jim Ritchie Sculptor,1971
tt0067504,North of Superior,1971
tt0067507,The Numbers Start with the River,1971
tt0067590,Plaza de armas,1971
tt0067613,Prietenii,1971
tt0067626,Przed rajdem,1971
tt0067733,Sentinels of Silence,1971
tt0067772,Somebody Waiting,1972
tt0067782,Spend It All,1972
tt0067785,Stabwechsel,1971
tt0067874,The Train Rolls On,1973
tt0068529,Introduction to Arnold Schoenberg's Accompaniment to a Cinematic Scene,1973
tt0068586,The Films of Robert Bolt,1972
tt0068651,The Journey of the Blind Musicians,1972
tt0068741,The Inner Eye,1972
tt0068769,Johann Plank,1972
tt0068770,Joi! Bangla,1972
tt0068790,K-Z,1972
tt0069105,Podstawy BHP w kopalni miedzi,1972
tt0069169,Refren,1972
tt0069245,Selling Out,1972
tt0069271,The Silent Revolution,1972
tt0069300,Sophia de Mello Breyner Andresen,1969
tt0069373,This Tiny World,1972
tt0069379,The Tide of Traffic,1972
tt0069469,Three Cheers for the Whale,1972
tt0069757,Background,1973
tt0069779,Berlinfieber - Wolf Vostell,1973
tt0069856,Catch the Sun,1973
tt0069877,Christo's Valley Curtain,1974
tt0070005,Dry Wood,1973
tt0070069,Four Stones for Kanemitsu,1973
tt0070088,Garden Isle,1973
tt0070420,Murarz,1973
tt0070500,Paisti ag obair,1973
tt0070561,Princeton: A Search for Answers,1974
tt0070718,A Song for Dead Warriors,1973
tt0070728,Standing Up Country,1973
tt0070767,Tagtraum,1973
tt0070858,A Private Collection,1973
tt0071243,Bout d'essai,1974
tt0071329,Circus World,1974
tt0071332,City Out of Wilderness,1974
tt0071364,Cosmos,1974
tt0071368,Cravos de Abril,1974
tt0071430,Don't,1975
tt0071480,Exploratorium,1974
tt0071685,Jaime,1974
tt0071699,John Muir's High Sierra,1974
tt0071805,Man Belongs to the Earth,1974
tt0071893,Naked Yoga,1974
tt0072043,Przeswietlenie,1974
tt0072045,Puppeteers of Rajasthan,1974
tt0072047,Puzzle,1974
tt0072099,Rosa von Praunheim zeigt,1975
tt0072659,Arthur and Lillie,1975
tt0072661,Ashes,1975
tt0072734,The Brothers,1975
tt0072811,Comptines,1975
tt0072847,A Day in the Life of Bonnie Consolo,1975
tt0072940,Energy,1975
tt0073013,Four Shorts on Architecture,1975
tt0073044,Giger's Necronomicon,1975
tt0073046,Girl,1975
tt0073311,Love Letter to Edie,1975
tt0073380,Mi Marilyn,1975
tt0073392,Millions of Years Ahead of Man,1975
tt0073564,O Povo e o Barro,1975
tt0073578,Probes in Space,1975
tt0073603,Ramkinkar,1975
tt0073619,Women Reply,1975
tt0073672,Scoala,1975
tt0073868,Viva Baja,1975
tt0073884,Waves of Revolution,1975
tt0073893,Whistling Smith,1975
tt0073898,Who's Out There?,1975
tt0074134,American Shoeshine,1976
tt0074177,Bala,1976
tt0074215,Blackwood,1976
tt0074322,Close Up,1976
tt0074346,Cooperage,1976
tt0074482,The End of the Road,1976
tt0074668,The Isle of the Final Battle,1976
tt0074669,The Sunken Tomb,1976
tt0074734,Katei Seikatsu: Japanese Family Life,1976
tt0074765,Kudzu,1977
tt0074796,The Life and Death of Frida Kahlo,1976
tt0074987,Number Our Days,1976
tt0075017,Ontario: Summertide,1976
tt0075146,Rivers of North America,1976
tt0075245,Sotelo,1976
tt0075299,Szpital,1977
tt0075373,Universe,1976
tt0075645,"Agueda Martinez: Our People, Our Country",1977
tt0075731,Bass on Titles,1977
tt0075844,Chitrakathi,1977
tt0075937,Di Cavalcanti,1977
tt0076032,First Edition,1977
tt0076082,Giger's Second Celebration of the Four,1977
tt0076173,I'll Find a Way,1977
tt0076386,"Die Menschen, die das Staufer-Jahr vorbereiten",1977
tt0076486,Ocean,1977
tt0076488,"Of Time, Tombs and Treasures",1977
tt0076559,Portrait George and Mike Kuchar,1977
tt0076700,The Shetland Experience,1977
tt0076714,Silent Sky,1977
tt0076742,Spaceborne,1977
tt0076743,Spartree,1978
tt0077143,Alfa 78,1978
tt0077257,Bonecos de Estremoz,1978
tt0077442,The Divided Trail: A Native American Odyssey,1977
tt0077502,An Encounter with Faces,1978
tt0077564,The Flight of the Gossamer Condor,1978
tt0077603,Genesis,1978
tt0077624,Goodnight Miss Ann,1978
tt0077639,Guerillere Talks,1978
tt0077702,How to Score... a Movie,1978
tt0078068,Patti Smith: Still Moving,1978
tt0078106,Powers of Ten,1977
tt0078314,Squires of San Quentin,1978
tt0078391,Three Rivers,1978
tt0078415,37/78: Tree Again,1978
tt0078516,From a Night Porter's Point of View,1979
tt0079022,Dae,1979
tt0079210,Giger's Alien,1979
tt0079414,Koryo Celadon,1979
tt0079479,Living Planet,1979
tt0079568,O Misterio das Origens,1979
tt0079608,Nails,1979
tt0079637,Nomads of the Deep,1979
tt0079791,Remember Me,1979
tt0079973,Susanne tanzt,1979
tt0080330,Act of God,1980
tt0080383,Arrival,1980
tt0080389,Atmos,1980
tt0080647,Don't Mess with Bill,1980
tt0080668,Dworzec,1980
tt0080694,The Eruption of Mount St. Helens!,1980
tt0080770,Talking Heads,1980
tt0080937,It's the Same World,1981
tt0081091,Luther Metke at 94,1980
tt0081551,Spurs of Tango,1980
tt0081746,Werner Herzog Eats His Shoe,1980
tt0082012,Americas in Transition,1982
tt0082403,Una foto recorre el mundo,1981
tt0082473,Great Barrier Reef,1981
tt0082549,Image de sable,1981
tt0082587,Journey for Survival,1981
tt0082591,Junkopia,1981
tt0082784,My Strange Uncle,1981
tt0083044,See What I Say,1981
tt0083093,Sloane Square: A Room of One's Own,1976
tt0083265,Urge to Build,1981
tt0083288,Viktor Matejka - Anregung ist alles,1981
tt0083301,Voices from Our Neighbourhood,1981
tt0083616,Banguza Timbila,1982
tt0083664,Blue Angels in Razor Sharp,1982
tt0083887,Energy! Energy!,1982
tt0084009,Gods of Metal,1982
tt0084043,Hail Columbia!,1982
tt0084118,If You Love This Planet,1982
tt0084122,L'imitateur,1982
tt0084213,The Klan: A Legacy of Hate in America,1982
tt0084317,Mein New York,1982
tt0084407,A New Face of Debbie Harry,1982
tt0084577,Reassemblage: From the Firelight to the Screen,1983
tt0084593,Reverse Angle: Ein Brief aus New York,1982
tt0084638,Scenes from the Life of Andy Warhol: Friendships and Intersections,1990
tt0084798,To Live or Let Die,1982
tt0084802,Tomorrow in Space,1982
tt0085222,Behold Hawaii,1983
tt0085459,The Dream Machine,1983
tt0085511,L'esprit des neiges,1983
tt0085548,Flamenco at 5:15,1983
tt0085621,The Great Sadness of Zohara,1983
tt0085714,Ihr zent frei,1983
tt0085722,In the Nuclear Shadow: What Can the Children Tell Us?,1984
tt0086125,Poczatek,1983
tt0086155,People of the Sun,1983
tt0086254,Das schlesische Tor,1982
tt0086291,Sewing Woman,1982
tt0086342,Sortie de secours,1983
tt0086347,Spaces: The Architecture of Paul Rudolph,1983
tt0086353,Sprout Wings and Fly,1983
tt0086870,Aldrig mera krig,1984
tt0087049,The Children of Soong Ching Ling,1985
tt0087067,Code Gray: Ethical Dilemmas in Nursing,1984
tt0087116,Indonesia: Dance of Life,1984
tt0087230,Faces of Japan,1984
tt0087316,The Garden of Eden,1984
tt0087355,Grand Canyon: The Hidden Secrets,1984
tt0087511,Journey of Discovery,1984
tt0087585,Lady,1984
tt0087638,Look 84,1984
tt0087662,The Magic Egg,1984
tt0087984,Recollections of Pavlovsk,1984
tt0088005,River Journey,1984
tt0088177,The Stone Carvers,1984
tt0088649,"Inside Rooms: 26 Bathrooms, London & Oxfordshire, 1985",1985
tt0088699,Alte Liebe,1985
tt0088732,Arabesques on the Pirosmani Theme,1986
tt0088886,Carry Hauser,1985
tt0088918,Chronicles of an Event,1985
tt0088923,Cigarette Blues,1985
tt0088957,The Courage to Care,1985
tt0089050,The Dream Is Alive,1985
tt0089170,A Freedom to Move,1985
tt0089176,From Chris to Christo,1985
tt0089354,Issa le tisserand,1985
tt0089408,Keats and His Nightingale: A Blind Date,1985
tt0089475,Leopold Kellermann und Viktor Matejka,1985
tt0089725,Omninews,1985
tt0089978,The Sea Is at Our Gates,1985
tt0090033,Skyward,1985
tt0090144,Le temps des bouffons,1993
tt0090298,Water and Man,1985
tt0090300,We Are Born of Stars,1985
tt0090921,Debonair Dancers,1986
tt0091318,Echoes in the Wilderness,1986
tt0091327,Karin's Face,1984
tt0091494,The Masters of Disaster,1986
tt0091504,Meeting Woody Allen,1986
tt0091626,"Niagara: Miracles, Myths and Magic",1986
tt0091678,On the Wing,1986
tt0091753,Picture Holland,1986
tt0091787,Precious Images,1986
tt0091884,Sacred Site,1986
tt0091887,Sam,1986
tt0092107,Transitions,1986
tt0092168,Vesmirna Odysea II,1987
tt0092174,A Visit with the Commander,1985
tt0092235,"Women - for America, for the World",1986
tt0093047,Frances Steloff: Memoirs of a Bookseller,1987
tt0093162,Heart Land,1987
tt0093254,In the Wee Wee Hours...,1987
tt0093366,Kond,1987
tt0093388,Language Says It All,1987
tt0093703,Parco delle rimembranze,1987
tt0093933,Seasons,1987
tt0093975,Silver Into Gold,1987
tt0094069,Sukumar Ray,1987
tt0094151,Time Concerto,1987
tt0094196,Turn Around,1987
tt0094300,The Way Things Go,1987
tt0094302,Weaving Ants,1987
tt0094677,"Art, Acting, and the Suicide Chair: Dennis Hopper",1988
tt0094718,Beavers,1988
tt0094775,Body Body,1988
tt0094864,The Children's Storefront,1988
tt0095092,Emergency,1988
tt0095197,Gang Cops,1987
tt0095199,Gap-Toothed Women,1987
tt0095449,A Day in the Life of a Child: Children of Ghana,1988
tt0095749,No Easy Road,1988
tt0095768,Nypan - biografprojektionisten,1988
tt0095892,Portrait of Imogen,1988
tt0095962,"Real, the True, the GEN-U-INE Wizard of Oz: L. Frank Baum",1987
tt0096375,"Verloren in Amerika. Beaobachtungen in Brighton Beach, Brooklyn, New York",1989
tt0096422,Was drin ist,1988
tt0096990,Buddha,1989
tt0097120,Crack USA: County Under Siege,1989
tt0097180,The Deepest Garden,1989
tt0097356,"Fine Food, Fine Pastries, Open 6 to 9",1989
tt0097362,The First Emperor of China,1990
tt0097564,Isle of Flowers,1989
tt0097628,The Johnstown Flood,1989
tt0097856,"Me, Myself and I",1989
tt0098029,Only the Earth,1989
tt0098159,Race the Wind,1989
tt0098249,"Samora Machel, Son of Africa",1989
tt0098642,White Town,1988
tt0098685,Yad Vashem: Preserving the Past to Ensure the Future,1989
tt0099023,Les amateurs,1990
tt0099122,Berliner Ballade,1990
tt0099158,Blue Planet,1990
tt0099191,Burning Down Tomorrow,1990
tt0099257,Chimps: So Like Us,1990
tt0099617,From the History of Aerostatics in Russia,1989
tt0099815,Huset Matusita,1990
tt0099899,Journey Into Life: The World of the Unborn,1990
tt0100086,Made in Milan,1990
tt0100447,Quentin Crisp,1990
tt0100517,Rose Kennedy: A Life to Remember,1990
tt0100997,"Yum, Yum, Yum! A Taste of Cajun and Creole Cooking",1990
tt0101247,11 juni 1990,1991
tt0101349,Anima Mundi,1992
tt0101357,Antarctica,1991
tt0101385,The Autumn Rain: Crime in Japan,1990
tt0101457,Birdnesters of Thailand,1991
tt0101683,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991
tt0101973,Grassroots Chicago,1991
tt0102009,Hidden Hawaii,1993
tt0102151,Jeevan,1991
tt0102320,A Little Vicious,1991
tt0102406,The Mark of the Maker,1991
tt0102430,Memorial: Letters from American Soldiers,1991
tt0102518,Neco z Carmen,1991
tt0102669,Pierced Tongue,1991
tt0102734,Al-qahira menauwwara bi Ahlaha,1991
tt0102794,Ring of Fire,1991
tt0103301,A Year Along the Abandoned Road,1991
tt0103702,Annihilation,1992
tt0103728,At the Edge of Conquest: The Journey of Chief Wai-Wai,1992
tt0103736,Augenzeugen der Fremde,1993
tt0103803,Beyond Imagining: Margaret Anderson and the 'Little Review',1994
tt0103958,Cholo soy,1992
tt0104167,Educating Peter,1992
tt0104263,End,1992
tt0104275,Fires of Kuwait,1992
tt0104339,Giger: Passage to the Id,1992
tt0104746,Lizards of Oz,1992
tt0104760,Lost and Found,1992
tt0104907,Momentum,1992
